Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Sudan,3893,3969,4136,4230,4320,4425,4521,4669,4807,4868,5024,5005,3949,3632,3337,3363,3222,2800,2345,2103,1919,1827,1867,1945,2153,2275,2553,2810,2459,2337
Suriname,48,43,38,61,54,40,42,47,42,26,92,114,74,52,36,31,10,4,7,6,4,2,1,1,2,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,1,0,0,15,0,9,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,583,547,960,1166,289,226,266,116,119,76,99,116,79,43,28,125,55,24,15,0,0,0,0,0,0,0,0,0,0,0
Tanzania,32999,33093,32817,32948,33434,33957,35133,36785,38170,38995,39213,39868,38046,34476,29536,26847,22804,18263,16863,19367,20550,17850,15044,14613,15040,16496,16749,16630,16889,17014
Thailand,1375,897,780,537,456,404,430,416,543,503,318,233,182,187,135,155,146,170,135,124,131,99,70,81,68,7,6,2,2,1
Timor,348,345,232,166,164,143,110,174,136,136,35,55,137,110,366,328,376,355,447,320,310,118,14,2,1,0,0,0,0,0
Togo,3939,4022,4091,4183,4250,4278,4317,4362,4427,4450,4504,4650,5180,5709,6230,6611,6725,6798,6422,5894,5714,5837,6276,6656,6655,6365,5750,5098,5294,5436
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,16,16,15,14,13,13,12,11,10,9,8,8,7,6,6,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,44242,45260,45783,46646,47282,48279,49681,51172,52982,54562,55586,57652,57993,57135,57092,51905,46798,44507,43621,40653,39357,35099,27954,22671,19575,22016,27037,27740,22762,22587
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,5,5,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,90,66,49,39,16,29,22,23,22,20,49,44,93,127,126,94,81,60,48,50,43,24,16,9,2,1,1,1,1,1
Venezuela,151,109,72,51,52,53,53,53,66,51,58,30,23,38,29,36,48,58,38,55,72,67,75,134,136,223,291,423,514,667
Vietnam,694,637,677,740,841,783,884,970,934,937,1312,1260,973,906,638,523,674,453,338,432,398,299,298,217,176,84,45,68,61,59
Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Pacific Region,4939,5247,5123,4577,4660,4366,4184,4333,3477,3793,4159,3609,3552,4156,3987,3727,4565,3819,3910,4289,3304,2403,2191,2282,1990,1334,1691,1742,1234,1208
World,840553,859283,856695,862512,855983,862940,872785,893231,901666,894094,882382,913037,929531,960008,961129,940883,942101,940521,933255,918165,910161,868828,806421,752017,724533,703065,660569,629854,631744,643381
World Bank High Income,96,151,174,186,69,97,83,92,198,54,28,12,10,8,6,5,5,5,3,3,3,3,3,2,2,2,3,3,2,3
World Bank Low Income,369731,376937,377923,385475,387320,395446,405853,414732,424877,431846,446800,457176,459569,470990,468821,452544,444650,436668,424037,423742,422522,401908,385628,370737,342915,333855,321766,305776,294963,300492
World Bank Lower Middle Income,455394,465739,463295,463878,457159,455373,456547,468770,466549,452775,427840,448718,464214,483902,487738,484110,493541,500439,506424,491686,484715,464136,417978,378408,378942,366737,336273,321334,334156,339666
World Bank Upper Middle Income,15078,16158,15027,12675,11120,11708,9994,9350,9711,9111,7393,6804,5404,4761,4219,3884,3553,3083,2447,2363,2577,2517,2571,2629,2469,2296,2321,2543,2448,3044
Yemen,5568,5643,5693,5771,5565,5769,5992,6137,6302,5714,5305,5329,4788,4552,4167,4065,3657,3643,2387,2859,4394,4057,4410,3955,4587,4196,4537,4813,4519,5089
Zambia,8268,8566,8724,8795,8967,9120,9144,9149,9161,9129,9052,9427,8913,8336,7365,6111,5116,4955,4317,4451,4531,4332,4638,5523,5609,5235,4716,4287,4815,4777
Zimbabwe,3628,3111,2210,2996,1712,2958,4347,4441,4664,5221,5353,5334,5458,6020,6279,6013,5490,6397,3993,4246,4546,3479,2763,3544,3685,2518,2050,2116,2088,2068
